zip_cd,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,population_16_and_over,population_margin_of_error
46001,3233,2654,106,5993,2760,8124,384
46011,6653,5502,292,12447,5794,13853,486
46012,7077,5914,286,13277,6200,16836,585
46013,6349,5220,326,11895,5546,13724,650
46016,3474,2559,294,6327,2853,14025,667
46017,2130,1760,97,3987,1857,4738,333
46030,1006,751,56,1813,807,2509,309
46031,704,508,49,1261,557,2082,327
46032,26817,19751,2200,48768,21951,40024,876
46033,20964,15895,1688,38547,17583,29459,714
46034,2888,2211,209,5308,2420,5411,415
46035,312,232,12,556,244,944,160
46036,3133,2347,284,5764,2631,9529,331
46037,22177,16693,1678,40548,18371,30793,1043
46038,19645,14101,1439,35185,15540,32910,774
46039,189,152,Suppressed,343,154,436,128
46040,6555,4884,462,11901,5346,9300,739
46041,6633,4943,323,11899,5266,17002,370
46044,943,775,35,1753,810,2492,209
46045,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,39,43
46047,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,37,55
46048,484,334,42,860,376,1504,222
46049,222,157,14,393,171,973,189
46050,494,393,39,926,432,1590,226
46051,964,774,45,1783,819,2228,190
46052,8231,6095,442,14768,6537,18179,417
46055,6315,4771,463,11549,5234,9356,559
46056,764,602,65,1431,667,1704,222
46057,287,230,7,524,237,982,178
46058,865,689,19,1573,708,1975,227
46060,17049,12206,1076,30331,13282,31087,946
46062,16857,12377,1208,30442,13585,26895,973
46063,84,71,5,160,76,434,103
46064,6910,5366,366,12642,5732,13997,436
46065,1068,841,38,1947,879,2563,251
46068,803,610,59,1472,669,2269,212
46069,2185,1603,184,3972,1787,5774,497
46070,676,587,24,1287,611,1799,138
46071,1034,787,70,1891,857,2620,268
46072,3146,2197,145,5488,2342,7069,296
46074,19917,13951,1469,35337,15420,25033,981
46075,3403,2402,276,6081,2678,4735,419
46076,385,276,19,680,295,1247,224
46077,17026,13015,1521,31562,14536,21509,550
46103,84,65,Suppressed,151,67,128,55
46104,320,276,6,602,282,771,156
46105,523,444,44,1011,488,1390,297
46106,3032,2158,227,5417,2385,5073,444
46107,3986,2841,336,7163,3177,10611,353
46110,173,141,7,321,148,505,194
46111,75,54,6,135,60,171,46
46112,17243,12770,1521,31534,14291,29591,765
46113,4275,3153,400,7828,3553,11718,702
46115,599,499,21,1119,520,1501,212
46117,218,181,Suppressed,401,183,657,267
46118,1639,1356,99,3094,1455,3986,331
46120,1610,1347,124,3081,1471,4353,484
46121,1618,1334,98,3050,1432,4579,421
46122,6260,4984,343,11587,5327,12566,522
46123,17628,13368,1186,32182,14554,28677,963
46124,2428,1858,117,4403,1975,7049,474
46125,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,55,75
46126,1526,1259,78,2863,1337,3901,366
46127,132,122,Suppressed,256,124,235,116
46128,604,488,48,1140,536,1528,281
46130,849,707,45,1601,752,2242,428
46131,11010,8118,560,19688,8678,26098,703
46133,238,213,5,456,218,657,143
46135,5870,4676,782,11328,5458,17517,470
46140,16201,12508,645,29354,13153,32491,656
46142,12452,9605,889,22946,10494,24005,969
46143,22192,15752,1563,39507,17315,43272,1281
46144,40,31,Suppressed,74,34,133,68
46146,58,47,Suppressed,106,48,234,131
46147,903,689,77,1669,766,2523,227
46148,1597,1352,39,2988,1391,4365,285
46149,676,532,51,1259,583,1574,211
46150,268,235,6,509,241,873,216
46151,9538,6826,660,17024,7486,25169,695
46155,40,36,Suppressed,78,38,109,106
46156,371,327,6,704,333,1070,212
46157,1122,834,94,2050,928,3133,380
46158,7947,6203,670,14820,6873,18712,718
46160,1872,1398,96,3366,1494,5484,562
46161,797,662,47,1506,709,2122,262
46162,183,155,16,354,171,277,123
46163,5958,4864,306,11128,5170,10119,519
46164,1435,1110,67,2612,1177,3649,318
46165,500,407,16,923,423,1313,266
46166,479,317,31,827,348,1720,297
46167,2707,2082,274,5063,2356,5455,313
46168,14794,11348,961,27103,12309,28227,853
46171,528,444,28,1000,472,1311,169
46172,617,517,41,1175,558,2002,236
46173,3577,3207,30,6814,3237,8164,349
46175,141,122,5,268,127,464,163
46176,9905,7661,400,17966,8061,21700,373
46180,288,250,11,549,261,802,155
46181,1633,1242,83,2958,1325,4113,331
46182,660,563,22,1245,585,1314,240
46183,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15,25
46184,3769,2628,257,6654,2885,11012,778
46186,505,406,22,933,428,1405,213
46201,7965,5276,931,14172,6207,23474,925
46202,9630,6516,905,17051,7421,18986,881
46203,10374,6807,1052,18233,7859,29184,1217
46204,4042,2571,507,7120,3078,8250,637
46205,10795,7697,1123,19615,8820,21755,756
46208,7698,5441,744,13883,6185,18472,895
46214,7611,5360,924,13895,6284,19324,931
46216,1087,899,100,2086,999,2079,239
46217,11729,8359,989,21077,9348,26807,1230
46218,6520,4831,596,11947,5427,22924,1185
46219,11986,8796,1042,21824,9838,29235,1046
46220,18970,14309,1773,35052,16082,30462,796
46221,6297,4178,824,11299,5002,20292,774
46222,7891,5074,1249,14214,6323,27062,1012
46224,9193,6162,1463,16818,7625,27167,1123
46225,1776,1134,175,3085,1309,4598,483
46226,10790,8004,940,19734,8944,34274,1340
46227,16300,11329,1145,28774,12474,43925,1219
46228,6787,5252,568,12607,5820,12619,822
46229,7746,5597,668,14011,6265,22187,1111
46231,3634,2561,301,6496,2862,7685,767
46234,10015,7311,1036,18362,8347,20561,1229
46235,6798,4554,589,11941,5143,23359,1040
46236,11956,9181,988,22125,10169,22551,969
46237,16009,11541,1155,28705,12696,30502,999
46239,10652,7545,884,19081,8429,22796,1179
46240,9794,7430,794,18018,8224,17178,793
46241,6853,4454,880,12187,5334,23182,1025
46250,8234,6056,631,14921,6687,15371,887
46254,11200,7817,1150,20167,8967,30277,916
46256,10831,8541,894,20266,9435,19812,939
46259,5586,4185,429,10200,4614,8393,542
46260,13574,10500,972,25046,11472,26249,1074
46268,9926,7155,756,17837,7911,20455,820
46278,4619,3661,399,8679,4060,7253,563
46280,3558,2539,302,6399,2841,5587,480
46290,131,115,7,253,122,187,140
46301,482,402,20,904,422,491,98
46303,4970,3372,164,8506,3536,11573,576
46304,10552,7449,632,18633,8081,20250,526
46307,26212,18754,1130,46096,19884,50445,749
46310,3903,2719,242,6864,2961,11156,362
46311,8707,6042,395,15144,6437,17625,512
46312,5683,3473,724,9880,4197,21050,481
46319,5417,3665,382,9464,4047,14380,429
46320,3233,2231,186,5650,2417,10375,523
46321,11219,7759,529,19507,8288,18537,296
46322,8945,5991,398,15334,6389,18546,284
46323,5472,3331,444,9247,3775,17466,694
46324,5453,3361,377,9191,3738,16533,607
46327,2439,1509,187,4135,1696,8726,541
46340,382,296,13,691,309,588,120
46341,3147,2230,212,5589,2442,8004,385
46342,10257,7331,601,18189,7932,24135,625
46345,72,60,Suppressed,132,60,163,89
46346,304,205,15,524,220,894,159
46347,1426,1007,114,2547,1121,3702,173
46348,321,236,21,578,257,828,129
46349,774,543,23,1340,566,2656,353
46350,15884,11404,820,28108,12224,34087,680
46356,5602,3869,235,9706,4104,13827,500
46360,15244,11352,893,27489,12245,35194,595
46365,334,253,22,609,275,680,211
46366,1516,1205,66,2787,1271,4461,254
46368,12617,8341,763,21721,9104,31381,456
46371,1203,916,48,2167,964,2578,478
46373,7020,4966,381,12367,5347,12829,443
46374,316,245,17,578,262,618,142
46375,10082,7124,527,17733,7651,19839,590
46376,86,56,Suppressed,146,60,195,89
46377,88,52,5,145,57,260,138
46379,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,81,73
46381,60,41,Suppressed,103,43,176,103
46382,721,549,27,1297,576,1366,197
46383,16021,11403,1341,28765,12744,34707,769
46385,16114,11528,1211,28853,12739,31265,900
46390,923,647,68,1638,715,2646,231
46391,2471,1632,119,4222,1751,8601,424
46392,1888,1276,149,3313,1425,6239,323
46393,100,61,6,167,67,276,156
46394,3669,2504,270,6443,2774,10311,411
46402,1054,707,64,1825,771,4866,353
46403,3334,2485,267,6086,2752,10929,629
46404,3716,2731,204,6651,2935,13678,704
46405,2614,1697,200,4511,1897,8082,473
46406,1702,1101,184,2987,1285,7080,502
46407,2142,1440,128,3710,1568,8568,479
46408,3258,2224,349,5831,2573,12480,649
46409,1325,872,103,2300,975,5771,388
46410,12198,8737,581,21516,9318,29853,812
46501,889,715,66,1670,781,2670,263
46502,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,58,97
46504,763,585,65,1413,650,2758,186
46506,2552,2056,204,4812,2260,7521,447
46507,2598,2018,221,4837,2239,7053,417
46508,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,93,36
46510,695,529,41,1265,570,3136,345
46511,1600,1255,90,2945,1345,3561,256
46514,12716,9564,878,23158,10442,32766,820
46516,8110,5546,774,14430,6320,23266,1036
46517,5986,4190,449,10625,4639,20061,1055
46524,315,236,20,571,256,1638,268
46526,11430,8841,339,20610,9180,25590,879
46528,6640,4989,279,11908,5268,19076,971
46530,15301,12145,1196,28642,13341,24268,701
46531,318,264,11,593,275,1303,214
46532,488,374,24,886,398,1248,213
46534,2859,2228,212,5299,2440,9053,333
46536,969,772,87,1828,859,2542,188
46537,113,91,12,216,103,377,194
46538,1327,1075,93,2495,1168,3224,350
46539,485,363,30,878,393,2148,231
46540,2377,1899,113,4389,2012,8858,432
46542,1038,771,42,1851,813,3146,224
46543,429,320,21,770,341,2295,296
46544,10511,8073,858,19442,8931,25014,725
46545,9582,7088,709,17379,7797,20761,691
46550,1946,1532,162,3640,1694,9248,437
46552,2356,1853,174,4383,2027,5365,330
46553,756,602,42,1400,644,2370,239
46554,1350,1076,94,2520,1170,3893,286
46555,817,660,42,1519,702,2111,218
46556,5863,3365,229,9457,3594,7260,900
46561,4423,3321,378,8122,3699,10237,679
46562,1075,820,100,1995,920,3919,292
46563,7217,5794,391,13402,6185,18360,460
46565,781,635,19,1435,654,5884,370
46567,2822,2254,137,5213,2391,7230,375
46570,230,190,14,434,204,723,152
46571,442,340,7,789,347,3341,272
46573,909,744,108,1761,852,2962,161
46574,2307,1832,137,4276,1969,7692,735
46580,6597,4660,435,11692,5095,17206,590
46582,4158,2914,324,7396,3238,10181,555
46590,1379,990,104,2473,1094,4148,208
46595,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,87,41
46601,1608,1184,330,3122,1514,4527,431
46613,2355,1611,238,4204,1849,8753,651
46614,11874,9667,838,22379,10505,24293,778
46615,4970,3786,451,9207,4237,10654,521
46616,2074,1554,184,3812,1738,4278,430
46617,5537,4036,460,10033,4496,7684,401
46619,6084,4576,437,11097,5013,15896,745
46628,8757,7004,589,16350,7593,19907,681
46635,2938,2382,202,5522,2584,5260,405
46637,7440,5475,646,13561,6121,13658,583
46701,2251,1772,94,4117,1866,6666,359
46702,533,405,79,1017,484,1719,184
46703,6478,5672,142,12292,5814,15224,334
46704,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,29,34
46705,384,302,17,703,319,1251,199
46706,6613,4912,195,11720,5107,15104,510
46710,1351,1037,59,2447,1096,3552,315
46711,1613,1431,162,3206,1593,5685,396
46714,4427,3481,167,8075,3648,11596,464
46721,1115,793,27,1935,820,3925,323
46723,2345,1855,78,4278,1933,6232,330
46725,7743,5696,364,13803,6060,18821,459
46730,410,324,20,754,344,944,186
46731,180,141,Suppressed,324,144,624,220
46732,608,446,33,1087,479,2282,287
46733,5826,4995,304,11125,5299,14495,432
46737,2596,2330,61,4987,2391,6045,238
46738,2108,1466,71,3645,1537,6540,270
46740,599,535,55,1189,590,2698,308
46741,744,563,30,1337,593,3325,360
46742,1191,1064,31,2286,1095,2632,255
46743,557,466,28,1051,494,1581,247
46745,696,588,27,1311,615,1691,218
46746,1030,857,31,1918,888,3770,360
46747,728,631,29,1388,660,1920,249
46748,2554,1968,80,4602,2048,3639,308
46750,7523,5621,886,14030,6507,21468,350
46755,4421,3559,263,8243,3822,11880,372
46759,124,102,Suppressed,230,106,366,125
46760,358,253,13,624,266,1027,190
46761,2430,2058,71,4559,2129,8615,464
46763,527,450,26,1003,476,1418,244
46764,345,235,13,593,248,1121,255
46765,2006,1559,61,3626,1620,4320,377
46766,121,92,Suppressed,215,94,656,198
46767,1861,1210,69,3140,1279,5899,333
46770,835,658,69,1562,727,2493,257
46771,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,34,38
46772,395,339,30,764,369,2018,280
46773,1162,974,37,2173,1011,2730,213
46774,5675,4643,190,10508,4833,13286,644
46776,461,400,10,871,410,1311,308
46777,2122,1660,70,3852,1730,4980,241
46779,625,559,14,1198,573,1587,197
46781,211,166,12,389,178,636,117
46783,2727,2166,226,5119,2392,5121,305
46784,719,573,49,1341,622,1725,219
46785,363,261,13,637,274,1292,223
46786,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,39,32
46787,966,734,76,1776,810,2862,267
46788,785,618,45,1448,663,2358,336
46791,248,196,15,459,211,665,180
46792,1239,1027,72,2338,1099,3046,261
46793,1126,852,45,2023,897,3759,314
46794,344,267,16,627,283,1362,215
46795,1795,1571,69,3435,1640,5231,383
46797,945,768,39,1752,807,2873,275
46798,440,367,19,826,386,1293,208
46799,116,90,Suppressed,210,94,179,61
46802,2884,1955,160,4999,2115,8566,502
46803,1450,939,70,2459,1009,6897,484
46804,12699,10043,545,23287,10588,22901,540
46805,7095,5263,209,12567,5472,17353,592
46806,4390,2951,182,7523,3133,17479,840
46807,4747,3354,198,8299,3552,12601,662
46808,5461,3926,193,9580,4119,15389,555
46809,2553,1946,103,4602,2049,7266,510
46814,7617,5940,405,13962,6345,9505,515
46815,10051,7867,290,18208,8157,21818,728
46816,4504,3312,204,8020,3516,13981,769
46818,7437,5690,319,13446,6009,16165,694
46819,2963,2307,96,5366,2403,7863,396
46825,11117,8572,352,20041,8924,23956,692
46835,14029,10990,462,25481,11452,28218,780
46845,12503,9934,376,22813,10310,17524,522
46901,9897,7482,722,18101,8204,31543,860
46902,11585,8821,665,21071,9486,28708,731
46910,844,600,65,1509,665,2645,216
46911,301,241,12,554,253,1088,176
46913,377,305,11,693,316,905,158
46914,938,469,34,1441,503,1516,262
46915,207,174,6,387,180,560,90
46917,451,358,18,827,376,1386,213
46919,569,468,18,1055,486,1932,299
46920,287,239,14,540,253,866,167
46922,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18,31
46923,2512,1879,54,4445,1933,6525,328
46926,390,328,12,730,340,1104,161
46928,1398,1205,31,2634,1236,3334,216
46929,886,664,26,1576,690,2355,248
46930,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,89,36
46931,58,42,6,106,48,149,60
46932,851,704,42,1597,746,2541,202
46933,1729,1494,31,3254,1525,4737,230
46936,1729,1328,115,3172,1443,4747,346
46938,707,615,26,1348,641,2369,285
46939,566,476,23,1065,499,1490,207
46940,699,620,26,1345,646,2164,231
46941,266,231,10,507,241,736,132
46943,23,18,6,47,24,156,79
46946,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,34,31
46947,7739,5876,842,14457,6718,22187,409
46950,167,144,9,320,153,480,135
46951,479,396,24,899,420,1495,218
46952,6470,5697,133,12300,5830,15024,652
46953,5399,4538,121,10058,4659,19574,724
46957,158,123,5,286,128,491,125
46958,127,110,6,243,116,395,164
46959,42,37,Suppressed,80,38,724,291
46960,325,287,9,621,296,918,190
46961,16,12,Suppressed,30,14,162,125
46962,2714,2285,172,5171,2457,7458,258
46967,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,82,30
46968,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,70,58
46970,5825,4626,243,10694,4869,19180,384
46974,382,326,18,726,344,1561,209
46975,3876,3134,229,7239,3363,11221,315
46978,556,483,25,1064,508,1661,209
46979,1505,1173,120,2798,1293,3748,337
46982,529,412,39,980,451,2059,292
46984,91,81,Suppressed,173,82,142,80
46985,397,358,9,764,367,1144,208
46986,551,478,13,1042,491,1332,219
46987,299,271,10,580,281,729,173
46988,173,142,6,321,148,746,182
46989,1346,998,45,2389,1043,4219,216
46990,193,158,9,360,167,559,133
